Job Id,Experience,Qualifications,Salary Range,location,Country,latitude,longitude,Work Type,Company Size,Job Posting Date,Preference,Contact Person,Contact,Job Title,Role,Job Portal,Job Description,Benefits,skills,Responsibilities,Company,Company Profile
1536525374644040,0 to 12 Years,B.Com,$63K-$96K,London,UK,55.3781,-3.436,Intern,43783,2022-02-22,Male,Corey Clark,(266)972-1537,Java Developer,Java Backend Developer,LinkedIn,"Java Backend Developers specialize in building the server-side components of software applications using Java. They work on database integration, server logic, and performance optimization to ensure efficient and reliable backend functionality.","{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}","Backend development RESTful APIs Database integration Java EE (Enterprise Edition) Performance optimization Version control (e.g., Git)",Develop server-side applications and APIs using Java and related technologies. Optimize application performance and scalability. Implement security measures and authentication systems.,Exelon,"{""Sector"":""Energy"",""Industry"":""Utilities: Gas and Electric"",""City"":""Chicago"",""State"":""Illinois"",""Zip"":""60603"",""Website"":""www.exeloncorp.com"",""Ticker"":""EXC"",""CEO"":""Calvin G. Butler""}"
1225535036606350,1 to 9 Years,B.Tech,$56K-$116K,Dili,Timor-Leste,-8.8742,125.7275,Intern,47263,2023-04-30,Female,Stephen Torres,868.584.3914x1020,Java Developer,Java Software Engineer,Snagajob,"Java Software Engineers develop and maintain software applications using the Java programming language. They write code, debug applications, and collaborate with cross-functional teams to deliver high-quality software solutions.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}","Java programming Java frameworks (e.g., Spring) Object-oriented design Code debugging Software development Problem-solving skills","Design, code, test, and maintain Java-based software applications. Collaborate with cross-functional teams on software development projects. Debug and resolve software defects and issues.",Go-Ahead Group,"{""Sector"":""Transportation"",""Industry"":""Transportation - Rail"",""City"":""London"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.go-ahead.com"",""Ticker"":""GOG.L"",""CEO"":""David Brown""}"
865657578997344,2 to 8 Years,M.Tech,$64K-$91K,Kuwait City,Kuwait,29.3117,47.4818,Temporary,70630,2021-10-21,Male,Alex Long,428.357.0899,Java Developer,Java Software Engineer,Jobs2Careers,"Java Software Engineers develop and maintain software applications using the Java programming language. They write code, debug applications, and collaborate with cross-functional teams to deliver high-quality software solutions.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}","Java programming Java frameworks (e.g., Spring) Object-oriented design Code debugging Software development Problem-solving skills","Design, code, test, and maintain Java-based software applications. Collaborate with cross-functional teams on software development projects. Debug and resolve software defects and issues.",CF Industries Holdings,"{""Sector"":""Fertilizers"",""Industry"":""Chemicals"",""City"":""Deerfield"",""State"":""Illinois"",""Zip"":""60015"",""Website"":""www.cfindustries.com"",""Ticker"":""CF"",""CEO"":""Tony Will""}"
307807279084266,3 to 13 Years,MCA,$57K-$99K,Mbabane,Eswatini,26.5225,31.4659,Part-Time,42053,2022-06-24,Female,Christopher Adams,892-889-0248x17384,Java Developer,Java Web Application Developer,Jobs2Careers,"Java Web Application Developers create web applications using Java technologies. They develop user interfaces, integrate backend systems, and ensure the functionality and security of web applications to provide a seamless user experience.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}","Web application development Java web frameworks (e.g., Servlets, JSP) Frontend integration User authentication Security protocols Code documentation","Focus on developing Java-based web applications, including frontend and backend components. Create user interfaces and integrate with databases. Ensure web application security and performance.",CDW,"{""Sector"":""Technology"",""Industry"":""Information Technology Services"",""City"":""Lincolnshire"",""State"":""Illinois"",""Zip"":""60069"",""Website"":""www.cdw.com"",""Ticker"":""CDW"",""CEO"":""Christine A. Leahy""}"
1402564907440070,0 to 10 Years,M.Tech,$63K-$108K,Vientiane,Lao PDR,19.8563,102.4955,Contract,64749,2023-04-26,Female,Julia Hernandez,(829)881-0270x769,Java Developer,Java Web Application Developer,ZipRecruiter,"Java Web Application Developers create web applications using Java technologies. They develop user interfaces, integrate backend systems, and ensure the functionality and security of web applications to provide a seamless user experience.","{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}","Web application development Java web frameworks (e.g., Servlets, JSP) Frontend integration User authentication Security protocols Code documentation","Focus on developing Java-based web applications, including frontend and backend components. Create user interfaces and integrate with databases. Ensure web application security and performance.",Insight Enterprises,"{""Sector"":""IT Services"",""Industry"":""Information Technology Services"",""City"":""Chandler"",""State"":""Arizona"",""Zip"":""85286"",""Website"":""www.insight.com"",""Ticker"":""NSIT"",""CEO"":""Joyce Mullen""}"
177593346487101,2 to 14 Years,BA,$57K-$130K,Bangui,Central African Republic,6.6111,20.9394,Contract,78798,2022-08-13,Male,Jeffrey Hernandez,780.903.1455x866,Java Developer,Java Software Engineer,Glassdoor,"Java Software Engineers develop and maintain software applications using the Java programming language. They write code, debug applications, and collaborate with cross-functional teams to deliver high-quality software solutions.","{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}","Java programming Java frameworks (e.g., Spring) Object-oriented design Code debugging Software development Problem-solving skills","Design, code, test, and maintain Java-based software applications. Collaborate with cross-functional teams on software development projects. Debug and resolve software defects and issues.",Ping An Insurance,"{""Sector"":""Insurance"",""Industry"":""Insurance"",""City"":""Shenzhen"",""State"":""Guangdong"",""Zip"":""518000"",""Website"":""https://group.pingan.com/"",""Ticker"":""601318.SS"",""CEO"":""Ma Mingzhe""}"
1611258469230890,4 to 9 Years,BBA,$64K-$95K,SÃƒÂ£o TomÃƒÂ©,Sao Tome and Principe,0.1864,6.6131,Contract,20146,2021-11-30,Male,Nicole Hall,(770)467-1785x7420,Java Developer,Java Web Application Developer,FlexJobs,"Java Web Application Developers create web applications using Java technologies. They develop user interfaces, integrate backend systems, and ensure the functionality and security of web applications to provide a seamless user experience.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}","Web application development Java web frameworks (e.g., Servlets, JSP) Frontend integration User authentication Security protocols Code documentation","Focus on developing Java-based web applications, including frontend and backend components. Create user interfaces and integrate with databases. Ensure web application security and performance.",Sirius XM Holdings Inc.,"{""Sector"":""Telecommunications/Radio"",""Industry"":""Entertainment - Satellite Radio"",""City"":""New York"",""State"":""NY"",""Zip"":""10020"",""Website"":""https://www.siriusxm.com/"",""Ticker"":""SIRI"",""CEO"":""Jennifer C. Witz""}"
1534415180382630,3 to 9 Years,BBA,$60K-$85K,San Jose,Costa Rica,9.7489,-83.7534,Intern,86184,2022-09-25,Female,Kristin Garcia,001-363-412-4669x321,Java Developer,Java Software Engineer,Internships.com,"Java Software Engineers develop and maintain software applications using the Java programming language. They write code, debug applications, and collaborate with cross-functional teams to deliver high-quality software solutions.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}","Java programming Java frameworks (e.g., Spring) Object-oriented design Code debugging Software development Problem-solving skills","Design, code, test, and maintain Java-based software applications. Collaborate with cross-functional teams on software development projects. Debug and resolve software defects and issues.",Corning,"{""Sector"":""Technology"",""Industry"":""Electronics, Electrical Equip."",""City"":""Corning"",""State"":""New York"",""Zip"":""14831"",""Website"":""www.corning.com"",""Ticker"":""GLW"",""CEO"":""Wendell P. Weeks""}"
2266341846699600,1 to 9 Years,BBA,$58K-$112K,Luanda,Angola,-11.2027,17.8739,Full-Time,109461,2023-08-22,Female,Amanda Chaney,001-380-838-7099x1282,Java Developer,Java Backend Developer,ZipRecruiter,"Java Backend Developers specialize in building the server-side components of software applications using Java. They work on database integration, server logic, and performance optimization to ensure efficient and reliable backend functionality.","{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}","Backend development RESTful APIs Database integration Java EE (Enterprise Edition) Performance optimization Version control (e.g., Git)",Develop server-side applications and APIs using Java and related technologies. Optimize application performance and scalability. Implement security measures and authentication systems.,Asbury Automotive Group,"{""Sector"":""Automotive"",""Industry"":""Automotive Retailing, Services"",""City"":""Duluth"",""State"":""Georgia"",""Zip"":""30097"",""Website"":""www.asburyauto.com"",""Ticker"":""ABG"",""CEO"":""David W. Hult""}"
2062433765644610,5 to 10 Years,B.Com,$60K-$98K,Manama,Bahrain,26.0667,50.5577,Temporary,63272,2021-11-12,Both,Rodney Wright,(429)211-4342x071,Java Developer,Java Software Engineer,The Muse,"Java Software Engineers develop and maintain software applications using the Java programming language. They write code, debug applications, and collaborate with cross-functional teams to deliver high-quality software solutions.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}","Java programming Java frameworks (e.g., Spring) Object-oriented design Code debugging Software development Problem-solving skills","Design, code, test, and maintain Java-based software applications. Collaborate with cross-functional teams on software development projects. Debug and resolve software defects and issues.",Iluka Resources,"{""Sector"":""Mining and Metals"",""Industry"":""Mining"",""City"":""Perth"",""State"":""WA"",""Zip"":""6000"",""Website"":""https://www.iluka.com/"",""Ticker"":""ILU"",""CEO"":""Tom O'Leary""}"
